genera	positive_size.sbp	positive_estimate.sbp	positive_p.value.sbp	positive_q.value.sbp	positivie_message.sbp	negative_size.sbp	negative_estimate.sbp	negative_p.value.sbp	negative_q.value.sbp	negative_message.sbp	positive_size.dbp	positive_estimate.dbp	positive_p.value.dbp	positive_q.value.dbp	positivie_message.dbp	negative_size.dbp	negative_estimate.dbp	negative_p.value.dbp	negative_q.value.dbp	negative_message.dbp	positive_size.sbp_sd	positive_estimate.sbp_sd	positive_p.value.sbp_sd	positive_q.value.sbp_sd	positivie_message.sbp_sd	negative_size.sbp_sd	negative_estimate.sbp_sd	negative_p.value.sbp_sd	negative_q.value.sbp_sd	negative_message.sbp_sd	positive_size.dbp_sd	positive_estimate.dbp_sd	positive_p.value.dbp_sd	positive_q.value.dbp_sd	positivie_message.dbp_sd	negative_size.dbp_sd	negative_estimate.dbp_sd	negative_p.value.dbp_sd	negative_q.value.dbp_sd	negative_message.dbp_sd
Avimonas A	1	0.467537325063117	0.764235764235764	0.978306541942906												1	0.192569769508799	0.886113886113886	1		1	0.0582784544553878	0.963036963036963	0.994514257672152												1	0.724202011368606	0.647352647352647	0.993745385049733	
Clostridium	3	0.696367371196115	0.766233766233766	0.978306541942906							1	1.5003309553578	0.253746253746254	0.999342537804076		2	0.938481292626876	0.561438561438561	0.999342537804076		1	0.582784544553878	0.721278721278721	0.994514257672152		2	0.847364134941229	0.639360639360639	0.994514257672152		1	1.01238092076875	0.490509490509491	0.941533713810941		2	0.578622287729736	0.804195804195804	0.993745385049733	
JAJEQR01	1	0.451952747561013	0.772227772227772	0.978306541942906							1	1.10318452599838	0.468531468531469	0.999342537804076												1	1.2651710187569	0.382617382617383	0.994514257672152							1	1.09313511149978	0.466533466533467	0.941533713810941	
Enterocloster	2	0.599179068435216	0.776223776223776	0.978306541942906							2	0.69603661606974	0.731268731268731	1							2	1.8061895356202	0.0232803920294483	0.806526806526806							2	1.94253797555794	0.00643228752291368	0.516709078681503						
Coprococcus A	1	0.405199015054702	0.783216783216783	0.978306541942906		1	0.538449548694261	0.743256743256743	0.978306541942906		1	0.2500551592263	0.875124875124875	1		1	0.0740652959649228	0.948051948051948	1							2	0.605260096386592	0.786213786213786	0.994514257672152							2	0.438505475802112	0.87012987012987	0.993878073146366	
Butyribacter	2	0.583411198213237	0.787212787212787	0.978306541942906							2	0.0755852262763233	0.988011988011988	1							1	0.378809953960021	0.808191808191808	0.994514257672152		1	0.838543582199339	0.579420579420579	0.994514257672152		1	1.89199057323995	0.0869130869130869	0.902861844038315		1	0.204962833406209	0.902097902097902	0.993878073146366	
Dysosmobacter	3	0.627438627555641	0.812187812187812	0.978306541942906		4	1.26764839489891	0.236763236763237	0.978306541942906		2	1.05819316786853	0.485514485514486	0.999342537804076		5	1.49523089549792	0.0749250749250749	0.846153846153846		4	1.11401056757043	0.36963036963037	0.994514257672152		3	1.20913969685759	0.327672327672328	0.994514257672152		3	0.346897639573365	0.941058941058941	0.993878073146366		4	1.0003877550733	0.507492507492508	0.941533713810941	
CAG-317	1	0.311691550042078	0.824175824175824	0.978306541942906							1	0.764874604692212	0.63036963036963	0.999342537804076							1	1.73378402004779	0.11988011988012	0.82957042957043							1	2.0081654330003	0.030969030969031	0.517182817182817						
UBA737	1	0.327276127544182	0.824175824175824	0.978306541942906												1	0.0296261183859691	0.978021978021978	1							1	1.82420007355646	0.0739260739260739	0.806526806526806							1	1.85832968954963	0.034965034965035	0.530832803560076	
Roseburia	3	0.56691181882035	0.84015984015984	0.978306541942906							2	0.931759698460858	0.581418581418581	0.999342537804076		1	0.948035788351011	0.537462537462537	0.999342537804076		2	1.70082847937569	0.04995004995005	0.806526806526806		1	1.11805810959912	0.44955044955045	0.994514257672152		2	1.9260757893244	0.00844443048259223	0.516709078681503		1	1.61237428946218	0.17982017982018	0.941533713810941	
Ventricola	1	0.280522395037871	0.845154845154845	0.978306541942906		2	1.30790230265883	0.271728271728272	0.978306541942906		2	0.136053407297382	0.98001998001998	1		1	1.30354920898264	0.358641358641359	0.999342537804076		2	0.632166337467071	0.774225774225774	0.994514257672152		1	1.42699521883045	0.296703296703297	0.994514257672152		1	0.730241975636473	0.625374625374625	0.97605198539778		2	0.605420463365496	0.796203796203796	0.993745385049733	
UBA3402	1	0.264937817535767	0.863136863136863	0.978306541942906							1	0.176509524159741	0.9000999000999	1												1	0.0588451636631115	0.968031968031968	0.994514257672152							1	0.191298644512462	0.909090909090909	0.993878073146366	
Bacteroides	4	0.509950073200237	0.886113886113886	0.978306541942906		6	0.600958459053976	0.883116883116883	0.978306541942906		4	0.448959234193391	0.927072927072927	1		6	0.597407200597984	0.894105894105894	1		6	1.02451604634062	0.461538461538462	0.994514257672152		4	0.800011297480798	0.727272727272727	0.994514257672152		3	1.38759055829346	0.170829170829171	0.941533713810941		7	0.680049936175404	0.852147852147852	0.993878073146366	
Bariatricus	1	0.187014930025247	0.894105894105894	0.978306541942906							1	1.11789365301169	0.447552447552448	0.999342537804076							1	0.524506090098491	0.748251748251748	0.994514257672152							1	0.431506621967007	0.775224775224775	0.993745385049733						
RUG115	1	0.202599507527351	0.894105894105894	0.978306541942906												1	0.592522367719382	0.702297702297702	1		1	1.26755638440469	0.382617382617383	0.994514257672152							1	1.92518339031434	0.0729270729270729	0.845288045288045						
Anaerobutyricum	1	0.155845775021039	0.915084915084915	0.978306541942906		1	0.793504598075752	0.619380619380619	0.978306541942906		1	0.794292858718836	0.618381618381618	0.999342537804076		1	0.888783551579073	0.556443556443557	0.999342537804076		2	1.16337695902041	0.391608391608392	0.994514257672152							2	1.08650429141376	0.474525474525475	0.941533713810941						
Faecousia	2	0.275412133210573	0.924075924075924	0.978306541942906		2	1.15308709787191	0.416583416583417	0.978306541942906		1	0.367728175332794	0.823176823176823	1		3	1.20854248050769	0.311688311688312	0.999342537804076							4	0.98724798412524	0.520479520479521	0.994514257672152							4	0.987835716005488	0.521478521478522	0.941533713810941	
Bilophila	1	0.124676620016831	0.933066933066933	0.978306541942906							1	0.632492461572406	0.698301698301698	1												1	0.397204854726003	0.81018981018981	0.994514257672152							1	0	1	1	
Phocaeicola	1	0.0935074650126234	0.949050949050949	0.983148587939007		2	0.688920681355674	0.719280719280719	0.978306541942906		1	0	1	1		2	0.464667645970373	0.861138861138861	1		2	0.36148465432836	0.903096903096903	0.994514257672152		1	0.470761309304892	0.782217782217782	0.994514257672152							3	1.4688221135356	0.116883116883117	0.941533713810941	
Slackia A	1	0.0779228875105195	0.957042957042957	0.985526378383521												1	0.207382828701784	0.878121878121878	1		1	0.81589836237543	0.605394605394606	0.994514257672152							1	1.41069472566137	0.308691308691309	0.941533713810941						
Senegalimassilia	1	0.0467537325063118	0.97002997002997	0.992492887229729							1	0.66191071559903	0.683316683316683	1							1	0.845037589603124	0.587412587412587	0.994514257672152							1	0.995784512231554	0.490509490509491	0.941533713810941						
Merdisoma	2	0.110375091553856	0.981018981018981	0.992492887229729							2	0.0604681810210587	0.992007992007992	1							1	1.15099947549391	0.438561438561439	0.994514257672152		1	0.0735564545788893	0.963036963036963	0.994514257672152		2	1.43391318710092	0.185814185814186	0.941533713810941						
Akkermansia						1	0.921032122766498	0.551448551448551	0.978306541942906							1	1.00728802512295	0.507492507492508	0.999342537804076							1	0.676719382125782	0.671328671328671	0.994514257672152							1	1.57138172278094	0.200799200799201	0.941533713810941	
Alistipes A						3	1.23036857758101	0.291708291708292	0.978306541942906							3	1.12407731373814	0.392607392607393	0.999342537804076		2	0.692372655321077	0.743256743256743	0.994514257672152		1	1.35343876425156	0.341658341658342	0.994514257672152							3	0.410224314124329	0.925074925074925	0.993878073146366	
Anaerotardibacter						1	0.949371572697775	0.537462537462537	0.978306541942906							1	0.222195887894768	0.872127872127872	1							1	0.750275836704672	0.626373626373626	0.994514257672152							1	0.860843900306078	0.58941058941059	0.959290709290709	
Anaerotignum						1	1.91291287036119	0.024975024975025	0.864135864135864							1	1.97013687266694	0.024975024975025	0.846153846153846							1	0.20595807282089	0.892107892107892	0.994514257672152							1	0.60122431132488	0.708291708291708	0.993745385049733	
Angelakisella						1	1.72870644580789	0.130869130869131	0.978306541942906							1	1.86644545831605	0.0659340659340659	0.846153846153846							1	1.69179845531446	0.143856143856144	0.858176306452169							1	1.59871010056843	0.186813186813187	0.941533713810941	
Avimicrobium						1	0.382582574072238	0.812187812187812	0.978306541942906		1	0.338309921306171	0.837162837162837	1							1	1.4569613613847	0.285714285714286	0.994514257672152							1	1.59325521957049	0.227772227772228	0.941533713810941						
